a,b,obs,expA,expB,null_mean,null_sd,z,ratioA,ratioB
15:1,21:0,46.0,62.51185279699147,40.328509371086085,41.47,6.272886098121026,0.7221556280699746,0.7358604479279466,1.1406322900935224
15:1,22:0,46.0,63.718890605063464,41.107210263413975,41.87,6.025205390690012,0.6854538114802807,0.7219209180070781,1.1190250981575531
15:1,22:1,46.0,81.50681619770332,52.582802360877494,55.01,7.704537624023909,-1.1694407165856988,0.5643699772105217,0.8748107353484224
15:1,22:2,46.0,63.46477738231146,40.943273233450206,42.19,6.50721906808123,0.5855035707478417,0.7248114922533527,1.123505679131157
15:1,22:4,46.0,62.19421126855148,40.12358808363138,40.61,6.044658799303728,0.891696318842821,0.7396186728918277,1.1464577869785761
15:1,22:6,46.0,62.89302263111947,40.574414916031735,41.89,6.048793268082484,0.679474370811635,0.731400687637474,1.1337193671232586
16:0,16:1,53.0,127.01967631455241,81.94468692520152,85.025,9.491278891698416,-3.3741501398732257,0.4172581881625208,0.6467777471451931
16:0,17:0,53.0,124.34557786582499,80.21953562151306,82.925,9.590587833912995,-3.1202466958472646,0.4262314825316073,0.6606869460085306
16:0,17:1,47.0,118.63273117990732,76.53398510908774,78.245,8.761562360675182,-3.5661447940196145,0.39618071279775385,0.6141062683853263
16:0,17:2,47.0,118.87583103888255,76.69081704578669,79.21,8.715268211592804,-3.6958128215899495,0.3953705272910099,0.6128504273456835
16:0,18:3,92.0,228.0276677187563,147.10835662361535,152.88,12.563263907122225,-4.845874483738783,0.40345981222537664,0.6253893532057254
16:0,18:4,50.0,116.32328251964273,75.0440817104477,78.225,9.05065605356871,-3.118558459513083,0.4298365633858109,0.6662750594100342
16:0,19:0,53.0,124.22402793633738,80.14111965316359,82.255,9.495260659929247,-3.081010732381304,0.42664853877674586,0.6613334107306525
16:0,19:1,52.0,119.11893089785777,76.84764898248564,79.49,8.899432566180836,-3.088960986621335,0.43653850490472434,0.6766635113567538
16:0,20:1,47.0,121.30682962863474,78.25913641277619,80.6,9.110982383914479,-3.687856982285587,0.3874472702310699,0.6005688556553893
16:0,20:2,47.0,119.96978040427103,77.39656076093196,80.8,9.179869280115051,-3.681969641247046,0.39176532491449617,0.6072621255765739
16:0,20:3,50.0,123.25162850043651,79.5137919063678,82.61,9.16612786295282,-3.557663659897371,0.4056741530179694,0.6288217276680499
16:0,20:5,47.0,119.362030756833,77.00448091918457,79.745,8.4658121287919,-3.8679100719274797,0.3937600567114132,0.610354091592748
16:0,21:0,47.0,119.6051306158082,77.16131285588354,79.24,8.31218382857357,-3.878643767378351,0.39295973139289403,0.6091135344960147
16:0,22:0,47.0,121.9145792760728,78.65121625452356,80.14,9.140590790534272,-3.6255862185974688,0.38551582820598973,0.5975749929651829
16:0,22:1,72.0,155.94855953260358,100.6076873923766,104.04,8.651496980291911,-3.7034053266142317,0.4616907024713314,0.7156510786218081
16:0,22:2,48.0,121.42837955812236,78.33755238112566,82.055,7.69817997970949,-4.423772903434398,0.3952947422560682,0.6127329555367232
16:0,22:4,47.0,118.99738096837015,76.76923301413615,80.99,8.832321325676507,-3.8483654236160336,0.39496667588417544,0.612224430994973
16:1,17:0,53.0,71.79067893358405,46.31459377043157,47.88,7.003970302621221,0.7310139504851767,0.7382574003657504,1.1443477246654934
16:1,17:1,47.0,68.49237794641058,44.18674830883795,45.365,6.323905043562876,0.2585427815150814,0.6862077417836693,1.063667316533436
16:1,17:2,47.0,68.63273117990732,44.27729492422491,46.01,6.183033236203732,0.16011558763799297,0.6848044539681608,1.061492127747069
16:1,18:0,53.0,126.3179101470687,81.4919538482667,84.16,8.445377433839178,-3.689592353225946,0.41957628920786816,0.6503709568515553
16:1,18:2,53.0,120.70378080719898,77.87008923278819,81.375,8.926050358361193,-3.1788975930906127,0.4390914654500946,0.6806207687981393
16:1,18:3,92.0,131.65133301994493,84.93272523297131,87.56,10.124544434195542,0.43853825017587406,0.6988155599310352,1.0832102672749884
16:1,18:4,46.0,67.15902222819153,43.326555462661794,44.95,6.210273745979316,0.16907467254238076,0.6849414788038777,1.0617045252914725
16:1,19:0,53.0,71.72050231683568,46.269320462738094,47.1,6.515366451704771,0.9055515209672115,0.7389797657281435,1.1454674386818
16:1,19:1,52.0,68.77308441340406,44.367841539611874,46.17,6.9087697891882325,0.8438550100661282,0.7561097549067475,1.1720200531633727
16:1,20:0,47.0,118.24759922100597,76.28552346351633,80.26,8.348796320428471,-3.9838078117460958,0.39747107179873076,0.6161064100514146
16:1,20:1,47.0,70.03626351487476,45.182761078094536,47.03,6.84464023890226,-0.004382991501802076,0.6710809178164941,1.0402197404174685
16:1,20:2,47.0,69.26432073064267,44.68475469346624,45.865,6.909180486859498,0.1642741859412478,0.6785600364547734,1.0518128682235397
