head,a,b,obs,null_mean,z
TG,20:0,20:4,34.0,34.56,-0.09411246340654734
TG,20:0,20:5,34.0,34.39,-0.06441408113082966
TG,20:0,21:0,34.0,35.22,-0.2057139616791443
TG,20:0,22:0,34.0,34.1,-0.01672016388516174
TG,20:0,22:1,57.0,51.14,0.7642007785344908
TG,20:0,22:2,35.0,35.54,-0.08580253324596442
TG,20:0,22:3,35.0,34.9,0.019385524805004304
TG,20:0,22:4,34.0,35.01,-0.19124843731591346
TG,20:0,22:5,34.0,35.05,-0.17344713170617895
TG,20:0,22:6,34.0,33.99,0.0015965826277932241
TG,20:1,20:2,34.0,34.18,-0.02872468837771941
TG,20:1,20:3,34.0,34.93,-0.1507764742496635
TG,20:1,20:4,34.0,34.25,-0.045714076736126874
TG,20:1,20:5,34.0,34.58,-0.10226939042662869
TG,20:1,21:0,34.0,33.67,0.05432431810970295
TG,20:1,22:0,34.0,34.35,-0.06269271244052173
TG,20:1,22:1,57.0,51.11,0.7660476691941409
TG,20:1,22:2,35.0,35.71,-0.11418111693380598
TG,20:1,22:3,35.0,34.41,0.0970453806362528
TG,20:1,22:4,34.0,34.95,-0.14054807707650918
TG,20:1,22:5,34.0,34.39,-0.07303076268135218
TG,20:1,22:6,34.0,35.02,-0.16832599911680596
TG,20:2,20:3,34.0,34.79,-0.13955353909503965
TG,20:2,20:4,34.0,35.12,-0.19006105843787816
TG,20:2,20:5,34.0,34.6,-0.09059765083337062
TG,20:2,21:0,34.0,34.13,-0.022469602254472743
TG,20:2,22:0,34.0,34.24,-0.0431175140346187
TG,20:2,22:1,57.0,50.44,0.9735209548016753
TG,20:2,22:2,35.0,35.99,-0.17970351101928617
TG,20:2,22:3,35.0,36.14,-0.1661793455223651
TG,20:2,22:4,34.0,33.74,0.051657713523760786
TG,20:2,22:5,34.0,34.81,-0.15158362957657956
TG,20:2,22:6,34.0,34.15,-0.025654147488540526
TG,20:3,20:4,34.0,34.67,-0.11821690852299688
TG,20:3,20:5,34.0,33.98,0.003707545470300635
TG,20:3,21:0,34.0,35.42,-0.22501842773724606
TG,20:3,22:0,34.0,33.98,0.003000163513367808
TG,20:3,22:1,57.0,49.42,1.0116238909371666
TG,20:3,22:2,35.0,35.56,-0.10179059273519
TG,20:3,22:3,35.0,34.96,0.006558399400203307
TG,20:3,22:4,34.0,34.36,-0.06070351605884614
TG,20:3,22:5,34.0,34.64,-0.11890571484236735
TG,20:3,22:6,34.0,34.56,-0.09588928634917418
TG,20:4,20:5,34.0,34.48,-0.08392737130384258
TG,20:4,21:0,34.0,34.85,-0.15404340371285208
TG,20:4,22:0,34.0,34.15,-0.02670599630287529
TG,20:4,22:1,57.0,50.85,0.9959922311723954
TG,20:4,22:2,35.0,36.28,-0.21951302403084474
TG,20:4,22:3,35.0,34.63,0.0593287835616599
TG,20:4,22:4,34.0,34.47,-0.077425570728507
TG,20:4,22:5,34.0,35.3,-0.22856314844794803
TG,20:4,22:6,34.0,34.48,-0.08553771909002801
TG,20:5,21:0,34.0,33.99,0.0017208186835669778
TG,20:5,22:0,34.0,33.61,0.06783080578541102
TG,20:5,22:1,57.0,50.84,0.8024099012119075
TG,20:5,22:2,35.0,35.35,-0.060409959637099185
TG,20:5,22:3,35.0,35.75,-0.12146246721614581
TG,20:5,22:4,34.0,33.71,0.05247126507146184
TG,20:5,22:5,34.0,34.37,-0.06541443013321838
TG,20:5,22:6,34.0,34.02,-0.003440124936598524
TG,21:0,22:0,34.0,35.0,-0.17391961901349123
TG,21:0,22:1,57.0,50.77,0.9492154915629065
TG,21:0,22:2,35.0,34.74,0.04900220645375824
TG,21:0,22:3,35.0,34.94,0.010212651302702698
TG,21:0,22:4,34.0,33.88,0.020470067778041445
TG,21:0,22:5,34.0,36.24,-0.38190350812042195
